browser,browser_version,order_flag_flagged,order_flag_nf,diff
Chrome,30.0,0.019474196689386564,0.0024353021398188135,0.01703889454956775
Chrome,42.0,0.019474196689386564,0.003247069519758418,0.016227127169628146
Chrome,49.0,0.2921129503407984,0.23784784232230413,0.054265108018494296
Chrome,67.0,0.05842259006815969,0.04545897327661785,0.012963616791541836
Chrome,70.0,0.03894839337877313,0.038964834237101016,-1.6440858327887442e-05
Chrome,71.0,0.03894839337877313,0.06818845991492678,-0.02924006653615365
Chrome,74.0,0.03894839337877313,0.04058836899698023,-0.0016399756182070985
Chrome,75.0,0.3894839337877313,0.42455433970841316,-0.03507040592068189
Chrome,76.0,0.09737098344693282,0.14043575672955158,-0.04306477328261876
Chrome,77.0,0.19474196689386564,0.1461181283891288,0.04862383850473684
Chrome,78.0,0.42843232716650437,0.25570672468097544,0.17272560248552893
Chrome,79.0,11.879259980525804,10.883365262850278,0.995894717675526
Chrome,80.0,5.0438169425511195,5.354417638081632,-0.3106006955305123
Chrome,81.0,0.07789678675754626,0.010552975939214858,0.0673438108183314
Edge,14.0,0.05842259006815969,0.021105951878429716,0.037316638189729974
Edge,15.0,0.03894839337877313,0.0178588823586713,0.021089511020101828
Edge,16.0,0.019474196689386564,0.038964834237101016,-0.019490637547714452
Edge,17.0,0.11684518013631938,0.1802123583465922,-0.06336717821027281
Edge,18.0,4.926971762414801,7.372471344611488,-2.445499582196687
Facebook,239.0,0.019474196689386564,,
Facebook,253.0,0.03894839337877313,0.004870604279637627,0.0340777890991355
Facebook,254.0,0.019474196689386564,0.004058836899698022,0.015415359789688542
Facebook,256.0,0.019474196689386564,0.2540831899210962,-0.2346089932317096
Firefox,48.0,0.03894839337877313,0.012176510699094067,0.02677188267967906
Firefox,52.0,0.2726387536514119,0.07549436633438322,0.19714438731702866
Firefox,53.0,0.019474196689386564,0.0024353021398188135,0.01703889454956775
Firefox,56.0,0.019474196689386564,0.004058836899698022,0.015415359789688542
Firefox,60.0,0.019474196689386564,0.005682371659577232,0.013791825029809333
Firefox,61.0,0.019474196689386564,,
Firefox,63.0,0.03894839337877313,0.004058836899698022,0.03488955647907511
Firefox,64.0,0.019474196689386564,0.0024353021398188135,0.01703889454956775
Firefox,65.0,0.019474196689386564,0.004058836899698022,0.015415359789688542
Firefox,66.0,0.03894839337877313,0.01623534759879209,0.02271304577998104
Firefox,68.0,0.31158714703018503,0.0365295320972822,0.2750576149329028
Firefox,69.0,0.05842259006815969,0.012176510699094067,0.04624607936906562
Firefox,70.0,0.07789678675754626,0.018670649738610903,0.05922613701893535
Firefox,71.0,0.03894839337877313,0.049517810176315874,-0.010569416797542745
Firefox,72.0,10.340798442064266,2.434490372438874,7.906308069625392
Firefox,73.0,0.03894839337877313,0.019482417118550508,0.01946597626022262
IE,11.0,0.019474196689386564,0.0024353021398188135,0.01703889454956775
Mobile Chrome,31.0,0.07789678675754626,0.001623534759879209,0.07627325199766705
Mobile Chrome,38.0,0.07789678675754626,0.018670649738610903,0.05922613701893535
Mobile Chrome,43.0,0.019474196689386564,0.004870604279637627,0.014603592409748938
Mobile Chrome,45.0,0.019474196689386564,0.004058836899698022,0.015415359789688542
